"esm.IDnum.w1","esm.fileDate.w1","esm.PRO03.w1","esm.PRO02.w1"
17,20121019,3,3
17,20121019,4,4
17,20121020,1,1
17,20121020,3,3
17,20121020,4,4
17,20121021,1,1
17,20121021,2,2
17,20121021,3,3
17,20121021,4,4
17,20121022,1,1
17,20121022,2,2
17,20121022,3,3
17,20121022,4,4
17,20121023,2,2
17,20121023,3,3
17,20121023,4,4
17,20121024,1,1
17,20121024,2,2
17,20121024,4,4
17,20121025,1,1
17,20121025,2,2
17,20121025,3,3
17,20121025,4,4
17,20121026,1,1
17,20121026,2,2
17,20121026,3,3
17,20121026,4,4
17,20121027,1,1
17,20121027,2,2
17,20121027,3,3
17,20121027,4,4
17,20121028,1,1
17,20121028,3,3
17,20121028,4,4
17,20121029,1,1
17,20121029,2,2
17,20121029,3,3
17,20121029,4,4
17,20121030,1,1
17,20121030,2,2
17,20121030,3,3
17,20121030,4,4
18,20121106,3,6
18,20121107,1,1
18,20121107,2,2
18,20121107,3,3
18,20121107,4,4
18,20121108,1,1
18,20121108,2,2
18,20121108,3,3
18,20121108,4,4
18,20121109,1,1
18,20121109,2,2
18,20121109,3,3
18,20121109,4,4
18,20121110,1,1
18,20121110,2,2
18,20121110,3,3
18,20121110,4,4
18,20121111,1,1
18,20121111,2,2
18,20121111,4,4
18,20121112,1,1
18,20121112,2,2
18,20121112,4,4
18,20121113,1,1
18,20121113,3,3
18,20121114,1,1
18,20121114,2,2
18,20121115,1,1
18,20121115,3,3
18,20121115,4,4
18,20121116,2,2
18,20121117,2,2
18,20121117,3,3
18,20121118,2,2
18,20121119,1,1
18,20121119,3,5
19,20121023,1,6
19,20121024,1,1
19,20121024,2,2
19,20121024,3,3
19,20121024,4,4
19,20121025,1,1
19,20121025,2,2
19,20121025,3,3
19,20121025,4,4
19,20121026,1,1
19,20121026,2,2
19,20121026,4,4
19,20121027,1,1
19,20121027,3,3
19,20121027,4,4
19,20121028,1,1
19,20121028,2,2
19,20121028,3,3
19,20121028,4,4
19,20121029,1,1
19,20121029,2,2
19,20121029,3,3
19,20121029,4,4
19,20121030,1,1
19,20121030,2,2
19,20121030,3,3
19,20121030,4,4
19,20121031,1,1
19,20121031,3,3
19,20121101,1,1
19,20121101,4,4
19,20121102,1,1
19,20121103,2,2
19,20121103,3,3
19,20121104,2,2
19,20121104,3,3
19,20121104,4,4
19,20121105,1,1
19,20121105,2,2
19,20121105,4,4
20,20121023,3,3
20,20121023,4,4
20,20121024,1,1
20,20121024,2,2
20,20121024,3,3
20,20121024,4,4
20,20121025,1,1
20,20121025,3,3
20,20121025,4,4
20,20121026,1,1
20,20121026,2,2
20,20121026,3,3
20,20121027,2,2
20,20121027,3,3
20,20121027,4,4
20,20121028,1,1
20,20121028,3,3
20,20121029,3,3
20,20121030,2,2
20,20121030,3,3
20,20121031,4,4
22,20121029,2,6
22,20121029,3,3
22,20121029,4,4
22,20121030,1,1
22,20121030,2,2
22,20121030,3,3
22,20121030,4,4
22,20121031,1,1
22,20121031,2,2
22,20121031,3,3
22,20121031,4,4
22,20121101,1,1
22,20121101,2,2
22,20121101,3,3
22,20121101,4,4
22,20121102,1,1
22,20121102,2,2
22,20121102,3,3
22,20121102,4,4
22,20121103,1,1
22,20121104,1,1
22,20121104,2,2
22,20121104,4,4
22,20121105,1,1
22,20121105,2,2
22,20121105,3,3
22,20121105,4,4
23,20121207,4,4
23,20121208,2,2
23,20121209,3,3
23,20121209,4,4
23,20121210,1,1
23,20121210,2,2
23,20121210,3,3
23,20121210,4,4
23,20121211,1,1
23,20121211,2,2
23,20121211,3,3
23,20121211,4,4
23,20121212,1,1
23,20121212,2,2
23,20121212,3,3
23,20121212,4,4
23,20121213,1,1
23,20121213,2,2
23,20121213,4,4
23,20121214,1,1
23,20121214,2,2
23,20121215,2,2
23,20121215,3,3
23,20121215,4,4
23,20121216,1,1
23,20121216,3,3
23,20121216,4,4
23,20121217,1,1
23,20121217,3,3
23,20121217,4,4
23,20121218,2,2
23,20121218,4,4
23,20121219,1,1
23,20121219,2,2
23,20121219,3,3
23,20121219,4,4
23,20121220,1,1
23,20121220,2,2
23,20121220,3,3
23,20121220,4,4
23,20121221,1,1
23,20121221,2,2
23,20121221,3,3
26,20121030,3,6
26,20121030,4,4
26,20121031,1,1
26,20121031,2,2
26,20121031,3,3
26,20121031,4,4
26,20121101,1,1
26,20121101,2,2
26,20121101,3,3
26,20121101,4,4
26,20121102,1,1
26,20121102,2,2
26,20121102,3,3
26,20121102,4,4
26,20121103,2,2
26,20121103,3,3
26,20121103,4,4
26,20121104,3,3
26,20121105,1,1
26,20121105,2,2
26,20121105,4,4
26,20121106,2,2
26,20121106,3,3
26,20121106,4,4
26,20121107,1,1
26,20121107,2,2
26,20121107,4,4
26,20121108,1,1
26,20121108,3,3
26,20121108,4,4
26,20121109,1,1
26,20121109,3,3
26,20121109,4,4
26,20121110,1,1
26,20121110,3,3
26,20121110,4,4
26,20121111,2,2
26,20121111,3,3
26,20121111,4,4
26,20121112,1,1
26,20121112,2,2
26,20121112,3,3
26,20121112,4,4
26,20121113,2,2
26,20121113,3,3
26,20121113,4,4
27,20121022,2,6
27,20121022,3,3
27,20121022,4,4
27,20121023,1,1
27,20121023,2,2
27,20121023,4,4
27,20121024,1,1
27,20121024,2,2
27,20121024,3,3
27,20121025,1,1
27,20121025,2,2
27,20121025,4,4
27,20121026,1,1
27,20121026,2,2
27,20121026,3,3
27,20121026,4,4
27,20121027,3,3
27,20121027,4,4
27,20121028,3,3
27,20121028,4,4
27,20121029,1,1
27,20121029,2,2
27,20121029,3,3
27,20121029,4,4
27,20121030,1,1
27,20121030,4,4
27,20121031,4,4
27,20121101,1,1
27,20121101,3,3
27,20121102,1,1
27,20121103,3,3
27,20121103,4,4
27,20121104,1,1
27,20121105,1,1
27,20121105,2,2
31,20121023,2,2
31,20121023,3,3
31,20121023,4,4
31,20121024,1,1
31,20121024,2,2
31,20121024,3,3
31,20121024,4,4
31,20121025,1,1
31,20121025,3,3
31,20121026,1,1
31,20121026,3,3
31,20121026,4,4
31,20121027,2,2
31,20121028,1,1
31,20121029,2,2
31,20121029,4,4
31,20121030,2,2
31,20121030,4,4
31,20121031,2,2
31,20121101,2,2
31,20121101,3,3
31,20121101,4,4
31,20121102,1,1
31,20121102,2,2
31,20121103,1,1
31,20121103,2,2
31,20121105,2,2
32,20121102,3,3
32,20121102,4,4
32,20121103,1,1
32,20121103,4,4
32,20121104,1,1
32,20121104,2,2
32,20121104,4,4
32,20121105,1,1
32,20121105,2,2
32,20121105,3,3
32,20121105,4,4
32,20121106,1,1
32,20121106,2,2
32,20121106,3,3
32,20121106,4,4
32,20121107,1,1
32,20121107,2,2
32,20121107,3,3
32,20121107,4,4
32,20121108,1,1
32,20121108,2,2
32,20121109,1,1
32,20121109,2,2
32,20121109,3,3
32,20121109,4,4
32,20121110,1,1
32,20121110,2,2
32,20121110,3,3
32,20121110,4,4
32,20121111,1,1
32,20121111,2,2
32,20121111,3,3
32,20121111,4,4
32,20121112,1,1
32,20121112,2,2
32,20121112,3,3
32,20121112,4,4
32,20121113,1,1
32,20121113,2,2
32,20121113,3,3
32,20121113,4,4
32,20121114,1,1
32,20121114,2,2
32,20121114,3,3
32,20121114,4,4
32,20121115,1,1
32,20121115,2,2
32,20121115,3,3
35,20121026,1,6
35,20121026,3,3
35,20121026,4,4
35,20121027,1,1
35,20121027,2,2
35,20121027,3,3
35,20121027,4,4
35,20121028,1,1
35,20121028,2,2
35,20121028,3,3
35,20121028,4,4
35,20121029,1,1
35,20121029,2,2
35,20121029,3,3
35,20121029,4,4
35,20121030,1,1
35,20121030,2,2
35,20121030,3,3
35,20121030,4,4
35,20121031,1,1
35,20121031,2,2
35,20121031,3,3
35,20121031,4,4
35,20121101,1,1
35,20121101,2,2
35,20121101,4,4
35,20121102,1,1
35,20121102,2,2
35,20121102,3,3
35,20121102,4,4
35,20121103,1,1
35,20121103,2,2
35,20121103,3,3
35,20121103,4,4
35,20121104,1,1
35,20121104,2,2
35,20121104,3,3
35,20121104,4,4
35,20121105,1,1
35,20121105,2,2
35,20121105,4,4
35,20121106,1,1
35,20121106,2,2
35,20121106,3,3
35,20121106,4,4
35,20121107,1,1
35,20121107,2,2
35,20121107,3,3
35,20121107,4,4
35,20121108,1,1
35,20121108,2,2
35,20121108,3,3
35,20121108,4,4
35,20121109,1,1
35,20121109,2,2
35,20121109,3,3
36,20121102,1,6
36,20121102,2,2
36,20121102,3,3
36,20121102,4,4
36,20121103,1,1
36,20121103,2,2
36,20121103,3,3
36,20121104,1,1
36,20121104,2,2
36,20121104,3,3
36,20121104,4,4
36,20121105,2,2
36,20121105,3,3
36,20121105,4,4
36,20121106,1,1
36,20121106,3,3
36,20121106,4,4
36,20121107,1,1
36,20121107,2,2
36,20121107,3,3
36,20121107,4,4
36,20121108,1,1
36,20121108,3,3
36,20121108,4,4
36,20121109,1,1
36,20121109,2,2
36,20121109,3,3
36,20121109,4,4
36,20121110,2,2
36,20121110,4,4
36,20121111,1,1
36,20121111,2,2
36,20121111,3,3
36,20121111,4,4
36,20121112,2,2
36,20121112,4,4
36,20121113,3,3
36,20121113,4,4
36,20121114,4,4
36,20121115,3,3
37,20121102,2,6
37,20121102,3,3
37,20121102,4,4
37,20121103,1,1
37,20121103,2,2
37,20121103,3,3
37,20121103,4,4
37,20121105,1,1
37,20121105,2,2
37,20121105,4,4
37,20121106,1,1
37,20121106,2,2
37,20121106,4,4
37,20121107,2,2
37,20121107,4,4
37,20121108,1,1
37,20121109,1,1
37,20121111,2,2
37,20121111,3,3
37,20121112,1,1
37,20121112,3,3
37,20121112,4,4
37,20121113,1,1
37,20121113,3,3
37,20121115,2,2
40,20121026,1,6
40,20121026,4,4
40,20121027,1,1
40,20121027,2,2
40,20121027,3,3
40,20121027,4,4
